1.724092289308898926e-04 9.907153052576992414e-01 5.360148226593355503e+01
1.749307837921691147e-04 9.906476547380171915e-01 5.321193715223034815e+01
1.774892174154372917e-04 9.905795113124730156e-01 5.282520983232643630e+01
1.800850691675375773e-04 9.905108713405923471e-01 5.244127964884319226e+01
1.827188863037722169e-04 9.904417312418364316e-01 5.206012657883275097e+01
1.853912240832739100e-04 9.903720873530708069e-01 5.168173043040133052e+01
1.881026458860652218e-04 9.903019360200091548e-01 5.130607135109403316e+01
1.908537233318301392e-04 9.902312735222579265e-01 5.093312942134707555e+01
1.936450364004218953e-04 9.901600961579511972e-01 5.056288510655940627e+01
1.964771735541340594e-04 9.900884001564829173e-01 5.019531879572332400e+01
1.993507318617603161e-04 9.900161817639674400e-01 4.983041124556893919e+01
2.022663171244671937e-04 9.899434371334833171e-01 4.946814302179882361e+01
2.052245440035088784e-04 9.898701624663164278e-01 4.910849521086947789e+01
2.082260361498097844e-04 9.897963538720860877e-01 4.875144872112923622e+01
2.112714263354414685e-04 9.897220074946923019e-01 4.839698490135015163e+01
2.143613565870235160e-04 9.896471193864143645e-01 4.804508493177763739e+01
2.174964783210755299e-04 9.895716855982751303e-01 4.769573026118814596e+01
2.206774524813475173e-04 9.894957021784834827e-01 4.734890259046460415e+01
2.239049496781598452e-04 9.894191651201862392e-01 4.700458363071993517e+01
2.271796503297807644e-04 9.893420703773976310e-01 4.666275518202019157e+01
2.305022448058711277e-04 9.892644138516875074e-01 4.632339907872665208e+01
2.338734335730279054e-04 9.891861914849118254e-01 4.598649759306226770e+01
2.372939273424564527e-04 9.891073991885985794e-01 4.565203311564982869e+01
2.407644472198014213e-04 9.890280327407298122e-01 4.531998772722727153e+01
2.442857248571696856e-04 9.889480880023693299e-01 4.499034411669299516e+01
2.478585026073772102e-04 9.888675607439306736e-01 4.466308484609226070e+01
2.514835336804499208e-04 9.887864467261137102e-01 4.433819269030527721e+01
2.551615823024166855e-04 9.887047416624121787e-01 4.401565048392785684e+01
2.588934238764209451e-04 9.886224412626221092e-01 4.369544129393625553e+01
2.626798451461921083e-04 9.885395411689901213e-01 4.337754816884489628e+01
2.665216443619053367e-04 9.884560370283193009e-01 4.306195441927820866e+01
2.704196314484683160e-04 9.883719244255646519e-01 4.274864336243808793e+01
2.743746281762682445e-04 9.882871989326578177e-01 4.243759850815104073e+01
2.783874683344182330e-04 9.882018560886965952e-01 4.212880348256931029e+01
2.824589979065341783e-04 9.881158913878178573e-01 4.182224198538506243e+01
2.865900752490859664e-04 9.880293003018494336e-01 4.151789787204870663e+01
2.907815712723547724e-04 9.879420782489651831e-01 4.121575504324118810e+01
2.950343696240377111e-04 9.878542206704777895e-01 4.091579771029137191e+01
2.993493668755369723e-04 9.877657229006004957e-01 4.061800994615350646e+01
3.037274727109759952e-04 9.876765802840209441e-01 4.032237609048343074e+01
3.081696101189760760e-04 9.875867881191892073e-01 4.002888055484436336e+01
3.126767155872423065e-04 9.874963416719987341e-01 3.973750786936079749e+01
3.172497392999915847e-04 9.874052361809411149e-01 3.944824269853461374e+01
3.218896453382705681e-04 9.873134668383234391e-01 3.916106978124616944e+01
3.265974118832010793e-04 9.872210288194218641e-01 3.887597402260144008e+01
3.313740314222015943e-04 9.871279172291859139e-01 3.859294032905154381e+01
3.362205109582201007e-04 9.870341271719498266e-01 3.831195382344321843e+01
3.411378722220319423e-04 9.869396536936093645e-01 3.803299966784743447e+01
3.461271518876388609e-04 9.868444918268134414e-01 3.775606319897087815e+01
3.511894017908204105e-04 9.867486365346868071e-01 3.748112976307629651e+01
3.563256891508798639e-04 9.866520827936091642e-01 3.720818495516459734e+01
3.615370967956367098e-04 9.865548255011089562e-01 3.693721435398765607e+01
3.668247233897048236e-04 9.864568595157715558e-01 3.666820363936722060e+01
3.721896836661145892e-04 9.863581796910423360e-01 3.640113868328080571e+01
3.776331086613182730e-04 9.862587808164297032e-01 3.613600538781111027e+01
3.831561459536353561e-04 9.861586576394630876e-01 3.587278974755326999e+01
